  Frequency            , (DB(V(U1:2)/V(V3:+)))@1, (DB(V(U1:2)/V(V3:+)))@2, (DB(V(U1:2)/V(V3:+)))@3, (DB(V(U1:2)/V(V3:+)))@4, (P(V(U1:2)))@1       , (P(V(U1:2)))@2       , (P(V(U1:2)))@3       , (P(V(U1:2)))@4       
  1.000000000000e+000  ,2.243528215601e-004  ,2.361255029128e-004  ,2.420152063491e-004  ,2.478424955701e-004  ,-1.333825023822e-001  ,-9.431407060928e-002  ,-6.671146396035e-002  ,-1.334241156907e-002  
  1.059253725177e+000  ,2.229208239458e-004  ,2.361299874980e-004  ,2.427383439986e-004  ,2.492766716468e-004  ,-1.412859047913e-001  ,-9.990253617734e-002  ,-7.066437453455e-002  ,-1.413300149773e-002  
  1.122018454302e+000  ,2.213140964857e-004  ,2.361350190232e-004  ,2.435497176503e-004  ,2.508858439420e-004  ,-1.496576117775e-001  ,-1.058221401941e-001  ,-7.485151126013e-002  ,-1.497043726590e-002  
  1.188502227437e+000  ,2.195113189565e-004  ,2.361406641161e-004  ,2.444600936887e-004  ,2.526913652878e-004  ,-1.585253718568e-001  ,-1.120925040433e-001  ,-7.928675318704e-002  ,-1.585749474725e-002  
  1.258925411794e+000  ,2.174885697581e-004  ,2.361469975714e-004  ,2.454815521761e-004  ,2.547171939936e-004  ,-1.679185776963e-001  ,-1.187344117860e-001  ,-8.398480180306e-002  ,-1.679711431197e-002  
  1.333521432163e+000  ,2.152190083708e-004  ,2.361541032586e-004  ,2.466276471751e-004  ,2.569902117131e-004  ,-1.778683635269e-001  ,-1.257698790604e-001  ,-8.896122977615e-002  ,-1.779241057678e-002  
  1.412537544623e+000  ,2.126725193263e-004  ,2.361620752585e-004  ,2.479135865548e-004  ,2.595405802218e-004  ,-1.884077083250e-001  ,-1.332222260658e-001  ,-9.423253258687e-002  ,-1.884668273317e-002  
  1.496235656094e+000  ,2.098153125014e-004  ,2.361710190793e-004  ,2.493564338232e-004  ,2.624021416246e-004  ,-1.995715451078e-001  ,-1.411161548725e-001  ,-9.981618322239e-002  ,-1.996342548834e-002  
  1.584893192461e+000  ,2.066094748210e-004  ,2.361810531024e-004  ,2.509753345289e-004  ,2.656128674022e-004  ,-2.113968767003e-001  ,-1.494778313146e-001  ,-1.057306901141e-001  ,-2.114634065516e-002  
  1.678804018123e+000  ,2.030124671784e-004  ,2.361923100253e-004  ,2.527917702847e-004  ,2.692153623244e-004  ,-2.239228983598e-001  ,-1.583349717376e-001  ,-1.119956585109e-001  ,-2.239934942995e-002  
  1.778279410039e+000  ,1.989765599967e-004  ,2.362049387150e-004  ,2.548298438367e-004  ,2.732574298270e-004  ,-2.371911276631e-001  ,-1.677169348884e-001  ,-1.186318554938e-001  ,-2.372660539860e-002  
  1.883649089490e+000  ,1.944481998639e-004  ,2.362191060726e-004  ,2.571165988539e-004  ,2.777927063078e-004  ,-2.512455420842e-001  ,-1.776548192534e-001  ,-1.256612788458e-001  ,-2.513250831505e-002  
  1.995262314969e+000  ,1.893672990130e-004  ,2.362349992961e-004  ,2.596823787734e-004  ,2.828813729182e-004  ,-2.661327247205e-001  ,-1.881815661682e-001  ,-1.331072300094e-001  ,-2.662171869737e-002  
  2.113489039837e+000  ,1.836664380158e-004  ,2.362528282019e-004  ,2.625612294081e-004  ,2.885909541749e-004  ,-2.819020186463e-001  ,-1.993320690410e-001  ,-1.409943913721e-001  ,-2.819917329093e-002  
  2.238721138568e+000  ,1.772699711775e-004  ,2.362728280776e-004  ,2.657913507152e-004  ,2.949972140066e-004  ,-2.986056904054e-001  ,-2.111432890535e-001  ,-1.493489081396e-001  ,-2.987010144977e-002  
  2.371373705662e+000  ,1.700930229138e-004  ,2.362952626191e-004  ,2.694156036302e-004  ,3.021851611532e-004  ,-3.162991031836e-001  ,-2.236543777232e-001  ,-1.581984750684e-001  ,-3.164004249141e-002  
  2.511886431510e+000  ,1.620403615118e-004  ,2.363204274850e-004  ,2.734820787416e-004  ,3.102501773206e-004  ,-3.350409002298e-001  ,-2.369068067363e-001  ,-1.675724283489e-001  ,-3.351486408309e-002  
  2.660725059799e+000  ,1.530051356413e-004  ,2.363486539570e-004  ,2.780447343920e-004  ,3.192992828492e-004  ,-3.548931991354e-001  ,-2.509445054814e-001  ,-1.775018429447e-001  ,-3.550078172123e-002  
  2.818382931264e+000  ,1.428674565668e-004  ,2.363803132758e-004  ,2.831641126226e-004  ,3.294525570179e-004  ,-3.759217976095e-001  ,-2.658140067443e-001  ,-1.880196357146e-001  ,-3.760437936945e-002  
  2.985382618918e+000  ,1.314928075401e-004  ,2.364158213983e-004  ,2.889081424116e-004  ,3.408447315898e-004  ,-3.981963914300e-001  ,-2.815646010470e-001  ,-1.991606746625e-001  ,-3.983263132471e-002  
  3.162277660168e+000  ,1.187302590304e-004  ,2.364556442787e-004  ,2.953530409384e-004  ,3.536269787890e-004  ,-4.217908052886e-001  ,-2.982485001472e-001  ,-2.109618946822e-001  ,-4.219292538566e-002  
  3.349654391578e+000  ,1.044104662167e-004  ,2.365003037467e-004  ,3.025843248101e-004  ,3.679689175388e-004  ,-4.467832372900e-001  ,-3.159210102442e-001  ,-2.234624201843e-001  ,-4.469308740075e-002  
  3.548133892336e+000  ,8.834342229037e-005  ,2.365503841224e-004  ,3.106979446719e-004  ,3.840608645681e-004  ,-4.732565179086e-001  ,-3.346407154671e-001  ,-2.367036950194e-001  ,-4.734140728010e-002  
  3.758374042884e+000  ,7.031593761882e-005  ,2.366065395105e-004  ,3.198015581386e-004  ,4.021163601963e-004  ,-5.012983842553e-001  ,-3.544696722615e-001  ,-2.507296201350e-001  ,-5.014666655906e-002  
  3.981071705535e+000  ,5.008881132140e-005  ,2.366695019293e-004  ,3.300159581006e-004  ,4.223750024181e-004  ,-5.310017705544e-001  ,-3.754736153239e-001  ,-2.655866994304e-001  ,-5.311816760742e-002  
  4.216965034286e+000  ,2.739365797482e-005  ,2.367400903114e-004  ,3.414766752265e-004  ,4.451056268740e-004  ,-5.624651157836e-001  ,-3.977221757724e-001  ,-2.813241943030e-001  ,-5.626576458428e-002  
  4.466835921510e+000  ,1.929347138737e-006  ,2.368192205325e-004  ,3.543357759214e-004  ,4.706098750342e-004  ,-5.957926894836e-001  ,-4.212891122883e-001  ,-2.979942874126e-001  ,-5.959989624477e-002  
  4.731512589615e+000  ,-2.664199136843e-005  ,2.369079163832e-004  ,3.687638796149e-004  ,4.992261977663e-004  ,-6.310949368058e-001  ,-4.462525560018e-001  ,-3.156522562175e-001  ,-6.313162071151e-002  
  5.011872336273e+000  ,-5.869944944117e-005  ,2.370073218214e-004  ,3.849524220900e-004  ,5.313343477756e-004  ,-6.684888439213e-001  ,-4.726952699481e-001  ,-3.343566568775e-001  ,-6.687265233136e-002  
  5.308844442310e+000  ,-9.466836923526e-005  ,2.371187143626e-004  ,4.031161948127e-004  ,5.673604203810e-004  ,-7.080983249853e-001  ,-5.007049239664e-001  ,-3.541695191526e-001  ,-7.083540074576e-002  
  5.623413251903e+000  ,-1.350259851052e-004  ,2.372435198720e-004  ,4.234961940479e-004  ,6.077825095501e-004  ,-7.500546319146e-001  ,-5.303743859719e-001  ,-3.751565529674e-001  ,-7.503301231110e-002  
  5.956621435290e+000  ,-1.803077533975e-004  ,2.373833285897e-004  ,4.463628172810e-004  ,6.531370546892e-004  ,-7.944967883071e-001  ,-5.618020305848e-001  ,-3.973873673547e-001  ,-7.947941401552e-002  
  6.309573444802e+000  ,-2.311144542440e-004  ,2.375399128616e-004  ,4.720194495240e-004  ,7.040259621581e-004  ,-8.415720489098e-001  ,-5.950920661655e-001  ,-4.209357025391e-001  ,-8.418936004721e-002  
  6.683439175686e+000  ,-2.881201591806e-004  ,2.377152461504e-004  ,5.008064868200e-004  ,7.611245964264e-004  ,-8.914363861164e-001  ,-6.303548813659e-001  ,-4.458796759687e-001  ,-8.917848118149e-002  
  7.079457843841e+000  ,-3.520811702084e-004  ,2.379115237035e-004  ,5.331058504235e-004  ,8.251907470419e-004  ,-9.442550050610e-001  ,-6.677074123831e-001  ,-4.723020431605e-001  ,-9.446333716440e-002  
  7.498942093325e+000  ,-4.238460486447e-004  ,2.381311846978e-004  ,5.693460510724e-004  ,8.970746907523e-004  ,-1.000202888957e+000  ,-7.072735321705e-001  ,-5.002904742796e-001  ,-1.000614722834e-001  
